chr	bin_start	bin_end	bin_len	chr_ind	bin_ind
chr1	1	10000000	9999999	1	1
chr1	10000000	20000000	10000000	1	2
chr1	20000000	30000000	10000000	1	3
chr1	30000000	40000000	10000000	1	4
chr1	40000000	50000000	10000000	1	5
chr1	50000000	60000000	10000000	1	6
chr1	60000000	70000000	10000000	1	7
chr1	70000000	80000000	10000000	1	8
chr1	80000000	90000000	10000000	1	9
chr1	90000000	100000000	10000000	1	10
chr1	100000000	110000000	10000000	1	11
chr1	110000000	120000000	10000000	1	12
chr1	120000000	130000000	10000000	1	13
chr1	130000000	140000000	10000000	1	14
chr1	140000000	150000000	10000000	1	15
chr1	150000000	160000000	10000000	1	16
chr1	160000000	170000000	10000000	1	17
chr1	170000000	180000000	10000000	1	18
chr1	180000000	190000000	10000000	1	19
chr1	190000000	195471971	5471971	1	20
chr2	1	10000000	9999999	2	21
chr2	10000000	20000000	10000000	2	22
chr2	20000000	30000000	10000000	2	23
chr2	30000000	40000000	10000000	2	24
chr2	40000000	50000000	10000000	2	25
chr2	50000000	60000000	10000000	2	26
chr2	60000000	70000000	10000000	2	27
chr2	70000000	80000000	10000000	2	28
chr2	80000000	90000000	10000000	2	29
chr2	90000000	100000000	10000000	2	30
chr2	100000000	110000000	10000000	2	31
chr2	110000000	120000000	10000000	2	32
chr2	120000000	130000000	10000000	2	33
chr2	130000000	140000000	10000000	2	34
chr2	140000000	150000000	10000000	2	35
chr2	150000000	160000000	10000000	2	36
chr2	160000000	170000000	10000000	2	37
chr2	170000000	180000000	10000000	2	38
chr2	180000000	182113224	2113224	2	39
chr3	1	10000000	9999999	3	40
chr3	10000000	20000000	10000000	3	41
chr3	20000000	30000000	10000000	3	42
chr3	30000000	40000000	10000000	3	43
chr3	40000000	50000000	10000000	3	44
chr3	50000000	60000000	10000000	3	45
chr3	60000000	70000000	10000000	3	46
chr3	70000000	80000000	10000000	3	47
chr3	80000000	90000000	10000000	3	48
chr3	90000000	100000000	10000000	3	49
chr3	100000000	110000000	10000000	3	50
chr3	110000000	120000000	10000000	3	51
chr3	120000000	130000000	10000000	3	52
chr3	130000000	140000000	10000000	3	53
chr3	140000000	150000000	10000000	3	54
chr3	150000000	160000000	10000000	3	55
chr3	160000000	160039680	39680	3	56
chr4	1	10000000	9999999	4	57
chr4	10000000	20000000	10000000	4	58
chr4	20000000	30000000	10000000	4	59
chr4	30000000	40000000	10000000	4	60
chr4	40000000	50000000	10000000	4	61
chr4	50000000	60000000	10000000	4	62
chr4	60000000	70000000	10000000	4	63
chr4	70000000	80000000	10000000	4	64
chr4	80000000	90000000	10000000	4	65
chr4	90000000	100000000	10000000	4	66
chr4	100000000	110000000	10000000	4	67
chr4	110000000	120000000	10000000	4	68
chr4	120000000	130000000	10000000	4	69
chr4	130000000	140000000	10000000	4	70
chr4	140000000	150000000	10000000	4	71
chr4	150000000	156508116	6508116	4	72
chr5	1	10000000	9999999	5	73
chr5	10000000	20000000	10000000	5	74
chr5	20000000	30000000	10000000	5	75
chr5	30000000	40000000	10000000	5	76
chr5	40000000	50000000	10000000	5	77
chr5	50000000	60000000	10000000	5	78
chr5	60000000	70000000	10000000	5	79
chr5	70000000	80000000	10000000	5	80
chr5	80000000	90000000	10000000	5	81
chr5	90000000	100000000	10000000	5	82
chr5	100000000	110000000	10000000	5	83
chr5	110000000	120000000	10000000	5	84
chr5	120000000	130000000	10000000	5	85
chr5	130000000	140000000	10000000	5	86
chr5	140000000	150000000	10000000	5	87
chr5	150000000	151834684	1834684	5	88
chr6	1	10000000	9999999	6	89
chr6	10000000	20000000	10000000	6	90
chr6	20000000	30000000	10000000	6	91
chr6	30000000	40000000	10000000	6	92
chr6	40000000	50000000	10000000	6	93
chr6	50000000	60000000	10000000	6	94
chr6	60000000	70000000	10000000	6	95
chr6	70000000	80000000	10000000	6	96
chr6	80000000	90000000	10000000	6	97
