chr	bin_start	bin_end	bin_len	chr_ind	bin_ind
chr1	1	5000000	4999999	1	1
chr1	5000000	10000000	5000000	1	2
chr1	10000000	15000000	5000000	1	3
chr1	15000000	20000000	5000000	1	4
chr1	20000000	25000000	5000000	1	5
chr1	25000000	30000000	5000000	1	6
chr1	30000000	35000000	5000000	1	7
chr1	35000000	40000000	5000000	1	8
chr1	40000000	45000000	5000000	1	9
chr1	45000000	50000000	5000000	1	10
chr1	50000000	55000000	5000000	1	11
chr1	55000000	60000000	5000000	1	12
chr1	60000000	65000000	5000000	1	13
chr1	65000000	70000000	5000000	1	14
chr1	70000000	75000000	5000000	1	15
chr1	75000000	80000000	5000000	1	16
chr1	80000000	85000000	5000000	1	17
chr1	85000000	90000000	5000000	1	18
chr1	90000000	95000000	5000000	1	19
chr1	95000000	100000000	5000000	1	20
chr1	100000000	105000000	5000000	1	21
chr1	105000000	110000000	5000000	1	22
chr1	110000000	115000000	5000000	1	23
chr1	115000000	120000000	5000000	1	24
chr1	120000000	125000000	5000000	1	25
chr1	125000000	130000000	5000000	1	26
chr1	130000000	135000000	5000000	1	27
chr1	135000000	140000000	5000000	1	28
chr1	140000000	145000000	5000000	1	29
chr1	145000000	150000000	5000000	1	30
chr1	150000000	155000000	5000000	1	31
chr1	155000000	160000000	5000000	1	32
chr1	160000000	165000000	5000000	1	33
chr1	165000000	170000000	5000000	1	34
chr1	170000000	175000000	5000000	1	35
chr1	175000000	180000000	5000000	1	36
chr1	180000000	185000000	5000000	1	37
chr1	185000000	190000000	5000000	1	38
chr1	190000000	195000000	5000000	1	39
chr1	195000000	195471971	471971	1	40
chr2	1	5000000	4999999	2	41
chr2	5000000	10000000	5000000	2	42
chr2	10000000	15000000	5000000	2	43
chr2	15000000	20000000	5000000	2	44
chr2	20000000	25000000	5000000	2	45
chr2	25000000	30000000	5000000	2	46
chr2	30000000	35000000	5000000	2	47
chr2	35000000	40000000	5000000	2	48
chr2	40000000	45000000	5000000	2	49
chr2	45000000	50000000	5000000	2	50
chr2	50000000	55000000	5000000	2	51
chr2	55000000	60000000	5000000	2	52
chr2	60000000	65000000	5000000	2	53
chr2	65000000	70000000	5000000	2	54
chr2	70000000	75000000	5000000	2	55
chr2	75000000	80000000	5000000	2	56
chr2	80000000	85000000	5000000	2	57
chr2	85000000	90000000	5000000	2	58
chr2	90000000	95000000	5000000	2	59
chr2	95000000	100000000	5000000	2	60
chr2	100000000	105000000	5000000	2	61
chr2	105000000	110000000	5000000	2	62
chr2	110000000	115000000	5000000	2	63
chr2	115000000	120000000	5000000	2	64
chr2	120000000	125000000	5000000	2	65
chr2	125000000	130000000	5000000	2	66
chr2	130000000	135000000	5000000	2	67
chr2	135000000	140000000	5000000	2	68
chr2	140000000	145000000	5000000	2	69
chr2	145000000	150000000	5000000	2	70
chr2	150000000	155000000	5000000	2	71
chr2	155000000	160000000	5000000	2	72
chr2	160000000	165000000	5000000	2	73
chr2	165000000	170000000	5000000	2	74
chr2	170000000	175000000	5000000	2	75
chr2	175000000	180000000	5000000	2	76
chr2	180000000	182113224	2113224	2	77
chr3	1	5000000	4999999	3	78
chr3	5000000	10000000	5000000	3	79
chr3	10000000	15000000	5000000	3	80
chr3	15000000	20000000	5000000	3	81
chr3	20000000	25000000	5000000	3	82
chr3	25000000	30000000	5000000	3	83
chr3	30000000	35000000	5000000	3	84
chr3	35000000	40000000	5000000	3	85
chr3	40000000	45000000	5000000	3	86
chr3	45000000	50000000	5000000	3	87
chr3	50000000	55000000	5000000	3	88
chr3	55000000	60000000	5000000	3	89
chr3	60000000	65000000	5000000	3	90
chr3	65000000	70000000	5000000	3	91
chr3	70000000	75000000	5000000	3	92
chr3	75000000	80000000	5000000	3	93
chr3	80000000	85000000	5000000	3	94
chr3	85000000	90000000	5000000	3	95
chr3	90000000	95000000	5000000	3	96
chr3	95000000	100000000	5000000	3	97
chr3	100000000	105000000	5000000	3	98
chr3	105000000	110000000	5000000	3	99
chr3	110000000	115000000	5000000	3	100
chr3	115000000	120000000	5000000	3	101
chr3	120000000	125000000	5000000	3	102
chr3	125000000	130000000	5000000	3	103
chr3	130000000	135000000	5000000	3	104
chr3	135000000	140000000	5000000	3	105
chr3	140000000	145000000	5000000	3	106
chr3	145000000	150000000	5000000	3	107
chr3	150000000	155000000	5000000	3	108
chr3	155000000	160000000	5000000	3	109
chr3	160000000	160039680	39680	3	110
chr4	1	5000000	4999999	4	111
chr4	5000000	10000000	5000000	4	112
chr4	10000000	15000000	5000000	4	113
chr4	15000000	20000000	5000000	4	114
chr4	20000000	25000000	5000000	4	115
chr4	25000000	30000000	5000000	4	116
chr4	30000000	35000000	5000000	4	117
chr4	35000000	40000000	5000000	4	118
chr4	40000000	45000000	5000000	4	119
chr4	45000000	50000000	5000000	4	120
chr4	50000000	55000000	5000000	4	121
chr4	55000000	60000000	5000000	4	122
chr4	60000000	65000000	5000000	4	123
chr4	65000000	70000000	5000000	4	124
